EmployeeNumber,Age,age_band,Gender,MaritalStatus,Department,JobRole,JobLevel,Education_label,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,income_quartile,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,tenure_band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction_label,EnvironmentSatisfaction_label,RelationshipSatisfaction_label,JobInvolvement_label,WorkLifeBalance_label,satisfaction_band,PerformanceRating,Attrition,attrition_flag
1073,36,36 to 45,Female,Single,Research & Development,Manufacturing Director,3,5 Doctor,Medical,Travel_Rarely,12,No,8858,Q4 highest,11,0,15,14,Over 10,8,7,8,0,2,4 Very High,4 Very High,2 Medium,2 Medium,2 Good,Good,3,No,0
1074,55,46 to 60,Male,Single,Research & Development,Manager,4,1 Below College,Medical,Non-Travel,2,No,16756,Q4 highest,15,0,31,9,6 to 10,7,6,2,7,3,1 Low,3 High,2 Medium,2 Medium,4 Best,Below average,3,No,0
1076,43,36 to 45,Male,Divorced,Sales,Sales Executive,3,3 Bachelor,Medical,Travel_Rarely,25,No,10798,Q4 highest,13,1,18,1,Under 1 year,0,0,0,5,5,4 Very High,3 High,3 High,2 Medium,3 Better,Good,3,No,0
1077,20,18 to 25,Female,Single,Sales,Sales Representative,1,3 Bachelor,Marketing,Travel_Frequently,9,Yes,2323,Q1 lowest,14,0,2,2,1 to 2,2,0,2,1,3,4 Very High,4 Very High,2 Medium,3 High,3 Better,Good,3,Yes,1
1079,21,18 to 25,Female,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,10,No,1416,Q1 lowest,13,0,1,1,Under 1 year,0,1,0,1,6,1 Low,3 High,1 Low,2 Medium,2 Good,Low,3,Yes,1
1080,46,46 to 60,Female,Divorced,Research & Development,Research Scientist,2,4 Master,Life Sciences,Travel_Rarely,8,Yes,4615,Q2,23,3,19,16,Over 10,13,1,7,8,2,1 Low,4 Very High,1 Low,2 Medium,3 Better,Below average,4,No,0
1081,51,46 to 60,Male,Married,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Rarely,4,Yes,2461,Q1 lowest,12,3,18,10,6 to 10,0,2,7,9,2,3 High,1 Low,3 High,3 High,4 Best,Below average,3,Yes,1
1082,28,26 to 35,Male,Single,Research & Development,Healthcare Representative,3,2 College,Technical Degree,Non-Travel,24,No,8722,Q4 highest,12,0,10,10,6 to 10,7,1,9,1,2,1 Low,2 Medium,1 Low,2 Medium,2 Good,Low,3,Yes,1
1083,26,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,2 College,Medical,Travel_Rarely,1,No,3955,Q2,16,2,6,5,3 to 5,3,1,3,1,2,1 Low,1 Low,1 Low,2 Medium,3 Better,Low,3,No,0
1084,30,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,3 Bachelor,Other,Travel_Rarely,20,No,9957,Q4 highest,15,1,7,6,6 to 10,2,0,2,0,1,1 Low,3 High,3 High,3 High,2 Good,Below average,3,No,0
1085,41,36 to 45,Female,Married,Research & Development,Research Scientist,1,2 College,Technical Degree,Travel_Rarely,7,No,3376,Q2,13,0,10,10,6 to 10,6,0,8,1,3,3 High,2 Medium,3 High,4 Very High,3 Better,Below average,3,No,0
1088,38,36 to 45,Female,Married,Research & Development,Healthcare Representative,3,1 Below College,Life Sciences,Travel_Rarely,17,No,8823,Q4 highest,18,1,20,19,Over 10,9,1,9,0,4,3 High,3 High,1 Low,2 Medium,2 Good,Below average,3,No,0
1092,40,36 to 45,Male,Married,Research & Development,Healthcare Representative,3,4 Master,Technical Degree,Travel_Rarely,20,No,10322,Q4 highest,20,1,14,11,Over 10,10,11,1,4,6,4 Very High,1 Low,4 Very High,3 High,3 Better,Good,4,No,0
1094,27,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,5 Doctor,Life Sciences,Non-Travel,8,No,4621,Q2,19,3,3,3,3 to 5,2,1,2,1,4,3 High,1 Low,4 Very High,1 Low,3 Better,Below average,3,No,0
1096,55,46 to 60,Male,Married,Research & Development,Manufacturing Director,3,1 Below College,Life Sciences,Travel_Frequently,2,No,10976,Q4 highest,18,1,23,3,3 to 5,2,1,2,3,4,2 Medium,4 Very High,2 Medium,3 High,3 Better,Below average,3,No,0
1097,28,26 to 35,Female,Single,Research & Development,Research Scientist,2,3 Bachelor,Other,Travel_Rarely,10,No,3660,Q2,13,0,10,8,6 to 10,7,1,7,3,4,3 High,3 High,4 Very High,3 High,4 Best,Good,3,No,0
1098,44,36 to 45,Male,Married,Human Resources,Human Resources,3,2 College,Medical,Travel_Rarely,1,No,10482,Q4 highest,14,1,24,20,Over 10,6,3,6,9,1,1 Low,2 Medium,4 Very High,2 Medium,3 Better,Below average,3,Yes,1
1099,33,26 to 35,Male,Divorced,Research & Development,Healthcare Representative,3,3 Bachelor,Life Sciences,Travel_Rarely,5,No,7119,Q3,15,1,9,3,3 to 5,2,1,2,4,2,4 Very High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
1100,35,26 to 35,Male,Single,Sales,Sales Executive,3,3 Bachelor,Technical Degree,Travel_Rarely,4,Yes,9582,Q4 highest,22,0,9,8,6 to 10,7,4,7,0,2,1 Low,4 Very High,1 Low,3 High,3 Better,Below average,4,Yes,1
1101,33,26 to 35,Female,Single,Research & Development,Research Scientist,2,4 Master,Medical,Travel_Frequently,29,No,4508,Q2,22,0,14,13,Over 10,7,3,8,1,4,3 High,1 Low,2 Medium,2 Medium,3 Better,Below average,4,Yes,1
1102,28,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,2 College,Life Sciences,Travel_Rarely,15,No,2207,Q1 lowest,16,1,4,4,3 to 5,2,2,2,1,5,3 High,1 Low,4 Very High,3 High,2 Good,Below average,3,No,0
1103,34,26 to 35,Male,Single,Research & Development,Healthcare Representative,2,1 Below College,Life Sciences,Travel_Frequently,3,No,7756,Q3,17,0,7,6,6 to 10,2,0,4,0,1,4 Very High,1 Low,3 High,3 High,2 Good,Below average,3,No,0
1105,37,36 to 45,Female,Divorced,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,10,Yes,6694,Q3,14,3,8,1,Under 1 year,0,0,0,2,5,4 Very High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
1106,25,18 to 25,Male,Married,Research & Development,Laboratory Technician,1,1 Below College,Technical Degree,Travel_Rarely,4,Yes,3691,Q2,15,1,7,7,6 to 10,7,5,6,1,3,4 Very High,4 Very High,2 Medium,3 High,4 Best,Good,3,Yes,1
1107,26,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,21,No,2377,Q1 lowest,20,1,1,1,Under 1 year,1,0,0,1,0,3 High,1 Low,3 High,3 High,2 Good,Below average,4,Yes,1
1108,33,26 to 35,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,25,Yes,2313,Q1 lowest,20,0,5,2,1 to 2,2,2,2,4,0,2 Medium,1 Low,2 Medium,2 Medium,3 Better,Low,4,Yes,1
1109,42,36 to 45,Male,Married,Research & Development,Manager,4,2 College,Medical,Travel_Rarely,2,No,17665,Q4 highest,17,1,23,22,Over 10,6,13,7,0,3,1 Low,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
1111,28,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Frequently,1,No,2596,Q1 lowest,15,2,1,1,Under 1 year,0,0,0,1,2,2 Medium,1 Low,1 Low,2 Medium,3 Better,Low,3,Yes,1
1113,50,46 to 60,Male,Single,Sales,Sales Executive,2,4 Master,Other,Travel_Frequently,1,Yes,4728,Q2,14,0,5,0,Under 1 year,0,0,0,3,4,3 High,4 Very High,4 Very High,3 High,3 Better,Good,3,Yes,1
1114,33,26 to 35,Female,Married,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Travel_Frequently,7,No,4302,Q2,17,1,4,3,3 to 5,2,0,2,0,3,2 Medium,4 Very High,3 High,3 High,3 Better,Good,3,No,0
1115,34,26 to 35,Male,Married,Research & Development,Research Scientist,1,4 Master,Life Sciences,Non-Travel,3,No,2979,Q2,17,3,6,0,Under 1 year,0,0,0,3,2,4 Very High,3 High,4 Very High,2 Medium,3 Better,Good,3,No,0
1116,48,46 to 60,Male,Single,Research & Development,Manager,4,4 Master,Medical,Non-Travel,1,No,16885,Q4 highest,22,0,27,5,3 to 5,4,2,1,2,3,4 Very High,1 Low,3 High,4 Very High,2 Good,Below average,4,No,0
1117,45,36 to 45,Female,Married,Sales,Sales Executive,2,4 Master,Life Sciences,Non-Travel,9,No,5593,Q3,13,1,15,15,Over 10,10,4,12,1,2,3 High,2 Medium,4 Very High,2 Medium,3 Better,Good,3,No,0
1118,52,46 to 60,Male,Single,Research & Development,Healthcare Representative,3,4 Master,Life Sciences,Travel_Rarely,7,No,10445,Q4 highest,19,0,18,8,6 to 10,6,4,0,7,4,2 Medium,2 Medium,4 Very High,3 High,3 Better,Below average,3,No,0
1119,38,36 to 45,Male,Divorced,Sales,Sales Executive,3,4 Master,Marketing,Travel_Rarely,10,Yes,8740,Q4 highest,14,2,9,8,6 to 10,7,2,7,0,2,3 High,3 High,2 Medium,2 Medium,3 Better,Below average,3,No,0
1120,29,26 to 35,Female,Divorced,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Rarely,28,No,2514,Q1 lowest,22,1,11,7,6 to 10,5,1,7,4,1,4 Very High,3 High,1 Low,3 High,3 Better,Below average,4,No,0
1121,28,26 to 35,Female,Divorced,Research & Development,Manufacturing Director,3,3 Bachelor,Medical,Travel_Rarely,3,No,7655,Q3,17,3,10,9,6 to 10,7,1,7,0,3,2 Medium,4 Very High,2 Medium,3 High,2 Good,Below average,3,No,0
1124,46,46 to 60,Male,Married,Sales,Manager,4,1 Below College,Marketing,Travel_Rarely,3,No,17465,Q4 highest,12,1,23,12,Over 10,9,4,9,3,3,3 High,1 Low,4 Very High,3 High,3 Better,Below average,3,No,0
1125,38,36 to 45,Male,Single,Sales,Sales Executive,3,2 College,Marketing,Travel_Rarely,2,No,7351,Q3,16,0,10,1,Under 1 year,0,0,0,7,2,2 Medium,4 Very High,3 High,3 High,3 Better,Good,3,No,0
1126,43,36 to 45,Female,Married,Research & Development,Manufacturing Director,3,3 Bachelor,Life Sciences,Travel_Frequently,27,No,10820,Q4 highest,11,1,18,8,6 to 10,7,0,1,8,1,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
1127,39,36 to 45,Male,Divorced,Research & Development,Healthcare Representative,4,3 Bachelor,Life Sciences,Travel_Frequently,2,No,12169,Q4 highest,11,3,21,18,Over 10,7,11,5,7,4,4 Very High,1 Low,4 Very High,3 High,3 Better,Good,3,Yes,1
1128,40,36 to 45,Male,Single,Research & Development,Research Director,5,3 Bachelor,Medical,Travel_Rarely,14,No,19626,Q4 highest,14,0,21,20,Over 10,7,4,9,1,2,3 High,3 High,1 Low,2 Medium,4 Best,Below average,3,No,0
1131,21,18 to 25,Female,Single,Research & Development,Research Scientist,1,1 Below College,Technical Degree,Travel_Rarely,1,Yes,2070,Q1 lowest,11,0,2,2,1 to 2,2,2,2,1,6,2 Medium,4 Very High,3 High,2 Medium,4 Best,Good,3,No,0
1132,39,36 to 45,Male,Single,Research & Development,Laboratory Technician,2,3 Bachelor,Life Sciences,Non-Travel,9,No,6782,Q3,15,0,9,5,3 to 5,4,0,3,9,2,2 Medium,3 High,3 High,3 High,2 Good,Below average,3,No,0
1133,36,36 to 45,Male,Single,Research & Development,Manufacturing Director,2,4 Master,Life Sciences,Non-Travel,18,No,7779,Q3,20,0,18,11,Over 10,9,0,9,2,0,4 Very High,1 Low,1 Low,3 High,3 Better,Below average,4,No,0
1135,31,26 to 35,Male,Married,Sales,Sales Representative,1,3 Bachelor,Life Sciences,Travel_Frequently,20,No,2791,Q1 lowest,12,1,3,2,1 to 2,2,2,2,0,4,4 Very High,3 High,1 Low,4 Very High,3 Better,Below average,3,No,0
1136,28,26 to 35,Male,Married,Research & Development,Research Scientist,1,1 Below College,Life Sciences,Travel_Rarely,2,No,3201,Q2,17,0,6,5,3 to 5,3,0,4,0,2,2 Medium,1 Low,1 Low,2 Medium,1 Bad,Low,3,No,0
1137,35,26 to 35,Male,Divorced,Sales,Sales Executive,2,2 College,Marketing,Travel_Frequently,11,No,4968,Q3,11,1,5,5,3 to 5,2,0,2,1,3,4 Very High,4 Very High,4 Very High,3 High,3 Better,High,3,No,0
1138,49,46 to 60,Male,Married,Sales,Sales Executive,4,4 Master,Technical Degree,Travel_Rarely,8,No,13120,Q4 highest,17,1,22,9,6 to 10,8,2,3,6,3,2 Medium,4 Very High,2 Medium,2 Medium,3 Better,Below average,3,No,0
1140,34,26 to 35,Male,Single,Research & Development,Manufacturing Director,2,2 College,Life Sciences,Travel_Frequently,2,No,4033,Q2,11,0,5,3,3 to 5,2,0,2,2,3,3 High,4 Very High,4 Very High,3 High,2 Good,Good,3,No,0
1143,29,26 to 35,Female,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Frequently,10,No,3291,Q2,14,2,8,7,6 to 10,5,1,1,0,2,2 Medium,4 Very High,4 Very High,3 High,2 Good,Good,3,No,0
1148,42,36 to 45,Male,Single,Research & Development,Laboratory Technician,2,3 Bachelor,Medical,Travel_Rarely,29,No,4272,Q2,19,0,16,1,Under 1 year,0,0,0,4,3,4 Very High,2 Medium,1 Low,1 Low,3 Better,Below average,3,No,0
1150,29,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,1 Below College,Medical,Travel_Rarely,8,Yes,5056,Q3,15,1,10,10,6 to 10,7,1,2,1,2,4 Very High,2 Medium,3 High,2 Medium,2 Good,Below average,3,No,0
1152,38,36 to 45,Male,Married,Human Resources,Human Resources,1,3 Bachelor,Human Resources,Travel_Rarely,1,No,2844,Q1 lowest,13,1,7,7,6 to 10,6,5,0,1,2,3 High,3 High,4 Very High,4 Very High,4 Best,Good,3,No,0
1154,28,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Frequently,6,Yes,2703,Q1 lowest,14,1,3,3,3 to 5,1,0,2,1,2,3 High,3 High,4 Very High,2 Medium,3 Better,Good,3,No,0
1156,18,18 to 25,Male,Single,Research & Development,Laboratory Technician,1,1 Below College,Medical,Non-Travel,8,No,1904,Q1 lowest,12,0,0,0,Under 1 year,0,0,0,1,0,3 High,3 High,4 Very High,3 High,3 Better,Good,3,Yes,1
1157,33,26 to 35,Female,Single,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,9,Yes,8224,Q3,17,0,6,5,3 to 5,2,0,3,0,3,1 Low,1 Low,1 Low,3 High,3 Better,Low,3,Yes,1
1158,41,36 to 45,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,12,Yes,4766,Q2,11,1,6,1,Under 1 year,0,0,0,3,4,4 Very High,2 Medium,1 Low,3 High,3 Better,Below average,3,No,0
1160,31,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Frequently,15,No,2610,Q1 lowest,12,1,2,2,1 to 2,2,2,2,1,5,3 High,3 High,3 High,3 High,2 Good,Below average,3,Yes,1
1161,37,36 to 45,Female,Divorced,Research & Development,Healthcare Representative,2,2 College,Medical,Travel_Rarely,25,No,5731,Q3,13,2,9,6,6 to 10,2,1,3,7,2,4 Very High,3 High,3 High,2 Medium,3 Better,Good,3,No,0
1162,27,26 to 35,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,6,No,2539,Q1 lowest,13,1,4,4,3 to 5,2,2,2,1,0,3 High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
1163,34,26 to 35,Female,Married,Sales,Sales Executive,2,1 Below College,Life Sciences,Travel_Rarely,9,No,5714,Q3,20,0,6,6,6 to 10,5,1,3,1,3,3 High,2 Medium,1 Low,3 High,2 Good,Low,4,No,0
1164,35,26 to 35,Male,Single,Human Resources,Human Resources,1,4 Master,Technical Degree,Travel_Rarely,8,No,4323,Q2,17,0,6,5,3 to 5,4,1,4,1,2,3 High,3 High,2 Medium,3 High,1 Bad,Below average,3,No,0
1165,29,26 to 35,Female,Married,Sales,Sales Executive,3,1 Below College,Life Sciences,Travel_Rarely,23,No,7336,Q3,13,1,11,11,Over 10,8,3,10,1,3,1 Low,4 Very High,1 Low,2 Medium,1 Bad,Low,3,Yes,1
1166,40,36 to 45,Female,Single,Research & Development,Research Director,3,4 Master,Medical,Travel_Frequently,9,No,13499,Q4 highest,17,0,20,18,Over 10,7,2,13,9,3,3 High,2 Medium,3 High,3 High,2 Good,Below average,3,No,0
1167,42,36 to 45,Male,Single,Sales,Sales Executive,4,3 Bachelor,Life Sciences,Travel_Frequently,12,Yes,13758,Q4 highest,12,0,22,21,Over 10,9,13,14,0,2,1 Low,3 High,2 Medium,3 High,2 Good,Low,3,Yes,1
1171,42,36 to 45,Male,Single,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,4,No,5155,Q3,13,0,9,6,6 to 10,4,1,5,7,3,1 Low,2 Medium,4 Very High,3 High,4 Best,Below average,3,No,0
1172,35,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Medical,Travel_Rarely,1,No,2258,Q1 lowest,12,1,10,8,6 to 10,0,1,7,6,2,3 High,4 Very High,2 Medium,2 Medium,3 Better,Good,3,No,0
1173,24,18 to 25,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,24,No,3597,Q2,22,0,6,4,3 to 5,3,1,2,8,2,2 Medium,4 Very High,4 Very High,3 High,3 Better,Good,4,No,0
1175,28,26 to 35,Female,Married,Research & Development,Laboratory Technician,1,1 Below College,Life Sciences,Travel_Rarely,12,Yes,2515,Q1 lowest,11,0,1,1,Under 1 year,1,0,0,1,4,4 Very High,3 High,4 Very High,3 High,2 Good,Good,3,Yes,1
1177,26,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Medical,Travel_Rarely,3,No,4420,Q2,22,1,8,8,6 to 10,7,0,7,1,2,4 Very High,1 Low,2 Medium,4 Very High,3 Better,Below average,4,No,0
1179,30,26 to 35,Male,Married,Sales,Sales Executive,2,3 Bachelor,Marketing,Travel_Rarely,10,No,6578,Q3,18,1,10,10,6 to 10,3,1,4,1,3,3 High,3 High,1 Low,2 Medium,3 Better,Below average,3,No,0
1180,40,36 to 45,Female,Married,Research & Development,Research Scientist,2,2 College,Medical,Travel_Frequently,26,Yes,4422,Q2,13,1,16,1,Under 1 year,1,0,0,3,3,4 Very High,3 High,4 Very High,2 Medium,1 Bad,Good,3,No,0
1182,35,26 to 35,Male,Divorced,Research & Development,Manufacturing Director,3,3 Bachelor,Life Sciences,Travel_Rarely,2,No,10274,Q4 highest,18,1,15,7,6 to 10,7,6,4,2,2,2 Medium,3 High,2 Medium,2 Medium,4 Best,Below average,3,No,0
1184,34,26 to 35,Male,Single,Research & Development,Healthcare Representative,2,3 Bachelor,Medical,Travel_Frequently,1,No,5343,Q3,20,0,14,13,Over 10,9,4,9,0,3,1 Low,4 Very High,3 High,2 Medium,3 Better,Below average,4,No,0
1185,35,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Other,Travel_Frequently,4,No,2376,Q1 lowest,13,1,2,2,1 to 2,2,2,2,1,2,4 Very High,4 Very High,2 Medium,2 Medium,4 Best,Good,3,No,0
1188,43,36 to 45,Female,Single,Sales,Sales Executive,2,3 Bachelor,Marketing,Travel_Rarely,9,No,5346,Q3,13,0,7,4,3 to 5,3,1,3,8,2,3 High,1 Low,2 Medium,1 Low,2 Good,Low,3,Yes,1
1190,32,26 to 35,Female,Divorced,Sales,Sales Representative,1,1 Below College,Life Sciences,Non-Travel,2,No,2827,Q1 lowest,12,3,1,1,Under 1 year,0,0,0,1,3,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
1191,56,46 to 60,Female,Divorced,Research & Development,Manager,5,4 Master,Technical Degree,Travel_Rarely,4,No,19943,Q4 highest,13,1,28,5,3 to 5,2,4,2,4,2,1 Low,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
1192,29,26 to 35,Female,Married,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,6,No,3131,Q2,13,1,10,10,6 to 10,8,0,8,1,5,4 Very High,2 Medium,1 Low,3 High,3 Better,Below average,3,No,0
1193,19,18 to 25,Male,Single,Research & Development,Research Scientist,1,2 College,Life Sciences,Travel_Rarely,9,No,2552,Q1 lowest,25,0,1,1,Under 1 year,1,0,0,1,4,1 Low,3 High,3 High,3 High,3 Better,Below average,4,No,0
1195,45,36 to 45,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,7,Yes,4477,Q2,19,1,7,3,3 to 5,2,0,2,4,2,3 High,1 Low,3 High,3 High,2 Good,Below average,3,No,0
1196,37,36 to 45,Female,Married,Research & Development,Manufacturing Director,2,3 Bachelor,Life Sciences,Travel_Rarely,1,No,6474,Q3,13,1,14,14,Over 10,8,3,11,1,2,4 Very High,4 Very High,2 Medium,2 Medium,2 Good,Good,3,No,0
1198,20,18 to 25,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,3,No,3033,Q2,12,0,2,2,1 to 2,2,1,2,1,2,3 High,1 Low,1 Low,2 Medium,2 Good,Low,3,No,0
1200,44,36 to 45,Male,Single,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Rarely,10,Yes,2936,Q2,11,0,6,6,6 to 10,4,0,2,1,4,3 High,3 High,3 High,3 High,3 Better,Good,3,Yes,1
1201,53,46 to 60,Female,Divorced,Research & Development,Manager,5,2 College,Medical,Travel_Rarely,7,No,18606,Q4 highest,18,1,26,7,6 to 10,7,4,7,3,6,3 High,4 Very High,2 Medium,3 High,3 Better,Good,3,No,0
1202,29,26 to 35,Female,Married,Research & Development,Research Scientist,1,1 Below College,Life Sciences,Travel_Rarely,15,Yes,2168,Q1 lowest,18,1,6,5,3 to 5,4,1,3,0,2,4 Very High,2 Medium,1 Low,1 Low,2 Good,Below average,3,No,0
1203,22,18 to 25,Male,Married,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Frequently,3,Yes,2853,Q1 lowest,11,1,1,0,Under 1 year,0,0,0,0,5,4 Very High,3 High,2 Medium,2 Medium,3 Better,Good,3,Yes,1
1204,46,46 to 60,Female,Married,Sales,Manager,4,3 Bachelor,Marketing,Travel_Rarely,2,No,17048,Q4 highest,23,0,28,26,Over 10,15,15,9,8,2,1 Low,3 High,1 Low,3 High,3 Better,Low,4,No,0
1206,44,36 to 45,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Non-Travel,17,No,2290,Q1 lowest,13,0,6,0,Under 1 year,0,0,0,2,3,3 High,4 Very High,4 Very High,1 Low,3 Better,Good,3,No,0
1207,33,26 to 35,Male,Married,Human Resources,Human Resources,1,3 Bachelor,Human Resources,Travel_Rarely,2,No,3600,Q2,13,1,5,5,3 to 5,4,1,4,1,2,3 High,2 Medium,4 Very High,3 High,3 Better,Good,3,No,0
1210,41,36 to 45,Male,Divorced,Research & Development,Research Scientist,1,2 College,Life Sciences,Non-Travel,5,No,2107,Q1 lowest,17,1,5,1,Under 1 year,0,0,0,6,2,1 Low,1 Low,1 Low,2 Medium,1 Bad,Low,3,Yes,1
1211,30,26 to 35,Male,Divorced,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,29,No,4115,Q2,19,3,8,4,3 to 5,3,0,3,8,3,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
1212,40,36 to 45,Male,Married,Sales,Sales Executive,2,4 Master,Medical,Travel_Frequently,2,No,4327,Q2,12,3,5,0,Under 1 year,0,0,0,5,2,2 Medium,2 Medium,4 Very High,3 High,3 Better,Below average,3,No,0
1215,50,46 to 60,Female,Married,Research & Development,Manager,4,3 Bachelor,Medical,Travel_Frequently,2,No,17856,Q4 highest,22,1,32,2,1 to 2,2,2,2,2,3,1 Low,4 Very High,3 High,3 High,3 Better,Below average,4,No,0
1216,28,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Medical,Travel_Rarely,19,No,3196,Q2,12,3,6,6,6 to 10,5,3,3,1,2,1 Low,4 Very High,3 High,2 Medium,3 Better,Below average,3,No,0
1217,46,46 to 60,Male,Married,Research & Development,Research Director,5,2 College,Life Sciences,Travel_Rarely,15,No,19081,Q4 highest,11,1,25,4,3 to 5,2,0,3,5,2,2 Medium,4 Very High,1 Low,3 High,3 Better,Below average,3,No,0
1218,35,26 to 35,Male,Married,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,17,Yes,8966,Q4 highest,15,3,15,7,6 to 10,7,1,7,3,2,1 Low,3 High,4 Very High,3 High,3 Better,Below average,3,No,0
1219,24,18 to 25,Female,Married,Research & Development,Laboratory Technician,1,2 College,Life Sciences,Travel_Rarely,17,No,2210,Q1 lowest,13,1,1,1,Under 1 year,0,0,0,1,3,2 Medium,4 Very High,1 Low,3 High,1 Bad,Low,3,Yes,1
1220,33,26 to 35,Female,Married,Sales,Sales Executive,2,3 Bachelor,Medical,Travel_Frequently,25,No,4539,Q2,12,1,10,10,6 to 10,7,0,1,1,3,3 High,2 Medium,1 Low,3 High,2 Good,Low,3,No,0
1221,36,36 to 45,Male,Divorced,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,6,No,2741,Q1 lowest,14,1,7,7,6 to 10,7,1,7,1,4,3 High,3 High,3 High,1 Low,3 Better,Good,3,No,0
1224,30,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,2,4 Master,Life Sciences,Travel_Rarely,7,No,3491,Q2,13,3,10,10,6 to 10,7,8,9,1,4,3 High,3 High,1 Low,3 High,2 Good,Below average,3,No,0
1225,44,36 to 45,Male,Single,Research & Development,Research Scientist,2,4 Master,Other,Travel_Rarely,29,No,4541,Q2,25,0,20,20,Over 10,11,13,17,1,3,4 Very High,4 Very High,2 Medium,3 High,3 Better,Good,4,No,0
1226,20,18 to 25,Male,Single,Sales,Sales Representative,1,3 Bachelor,Marketing,Travel_Rarely,21,No,2678,Q1 lowest,17,0,2,2,1 to 2,1,2,2,1,2,4 Very High,3 High,4 Very High,4 Very High,3 Better,Good,3,No,0
1228,46,46 to 60,Male,Divorced,Research & Development,Manufacturing Director,2,4 Master,Technical Degree,Travel_Rarely,2,No,7379,Q3,11,1,12,6,6 to 10,3,1,4,2,3,4 Very High,4 Very High,3 High,3 High,2 Good,Good,3,No,0
1231,42,36 to 45,Male,Married,Human Resources,Human Resources,2,5 Doctor,Medical,Non-Travel,2,No,6272,Q3,16,1,10,4,3 to 5,3,0,3,7,3,1 Low,4 Very High,1 Low,4 Very High,4 Best,Below average,3,No,0
1233,60,46 to 60,Male,Divorced,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,7,Yes,5220,Q3,18,1,12,11,Over 10,7,1,9,0,3,4 Very High,2 Medium,2 Medium,4 Very High,3 Better,Below average,3,No,0
1234,32,26 to 35,Female,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Other,Travel_Frequently,13,No,2743,Q1 lowest,20,1,2,2,1 to 2,2,2,2,1,2,2 Medium,3 High,3 High,2 Medium,3 Better,Below average,4,No,0
1235,32,26 to 35,Female,Single,Research & Development,Research Scientist,2,2 College,Life Sciences,Travel_Frequently,2,Yes,4998,Q3,14,0,10,8,6 to 10,7,0,7,4,2,3 High,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
